"Main Product","Main Product"
"Associated Product","Associated Product"
"Shipping Charges","Shipping Charges"
"Not applicable on downloadable and virtual product.","Not applicable on downloadable and virtual product."
"Shipping Cost","Shipping Cost"
"Webkul Marketplace Per Product Shipping","Webkul Marketplace Per Product Shipping"
Enabled,Enabled
Title,Title
Name,Name
"Default Shipping Price","Default Shipping Price"
"Handling Fee","Handling Fee"
"Shipping Based On","Shipping Based On"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
